price_id		product_id		listing_price		discount

(1,1,120,0),
(2,2,89,0),
(3,3,89,0),
(4,4,140,0),
(5,5,130,0),
(6,6,80,0),
(7,7,170,0),
(8,8,80,0),
(9,9,100,0),
(10,10,230,0),
(11,11,109,0),
(12,12,65,0),
(13,13,48,0),
(14,14,129,0),
(15,15,54,0),
(16,16,140,0),
(17,17,130,0),
(18,18,79,0),
(19,19,159,0),
(20,20,29,0),
(21,21,179,0),
(22,22,159,0),
(23,23,159,0),
(24,24,36,0),
(25,25,69,0),
(26,26,54,0),
(27,27,99,0),
(28,28,139,0),
(29,29,139,0),
(30,30,64,0),
(31,31,119,0),
(32,32,84,0),
(33,33,89,0),
(34,34,139,0),
(35,35,129,0),
(36,36,159,0),
(37,37,79,0),
(38,38,119,0),
(39,39,175,0),
(40,40,250,0),
(41,41,160,0),
(42,42,155,0),
(43,43,100,0),
(44,44,180,0),
(45,45,200,0),
(46,46,220,0),
(47,47,190,0),
(48,48,200,0),
(49,49,300,0),
(50,50,170,0),
(51,51,190,0),
(52,52,200,0),
(53,53,220,0),
(54,54,160,0),
(55,55,169,0),
(56,56,200,0),
