rating_id		product_id		Rating		Reviews

(2,1,5,1),
(4,2,3,1),
(6,3,3,1),
(8,4,0,0),
(10,5,4.9,17),
(12,6,0,0),
(14,7,0,0),
(16,8,5,1),
(18,9,0,0),
(20,10,4.3,8),
(22,11,5,5),
(24,12,2,1),
(26,13,4.2,25),
(28,14,4,1),
(30,15,0,0),
(32,16,5,1),
(34,17,0,0),
(36,18,0,0),
(38,19,0,0),
(40,20,0,0),
(42,21,4.5,4),
(44,22,0,0),
(46,23,3,1),
(48,24,4.5,6),
(50,25,4.5,34),
(52,26,0,0),
(54,27,4.6,16),
(56,28,3.9,63),
(58,29,3.8,15),
(60,30,0,0),
(62,31,4,2),
(64,32,0,0),
(66,33,4.6,34),
(68,34,4.6,5),
(70,35,4.7,3),
(72,36,3.6,20),
(74,37,4.2,13),
(76,38,0,0),
(78,39,4.8,2),
(80,40,5,0),
(82,41,5,34),
(84,42,5,12),
(86,43,4.9,2),
(88,44,4.3,5),
(90,45,4.9,3),
(92,46,5,20),
(94,47,4.8,13),
(96,48,4.6,0),
(98,49,4.9,2),
(100,50,5,0),
(102,51,5,34),
(104,52,5,12),
(106,53,5,2),
(108,54,5,5),
(110,55,4.3,17),
(112,56,4.9,65),
