inv_id		product_id		stock

(2,1,4),
(4,2,16),
(6,3,12),
(8,4,18),
(10,5,12),
(12,6,1),
(14,7,0),
(16,8,9),
(18,9,3),
(20,10,12),
(22,11,6),
(24,12,16),
(26,13,20),
(28,14,13),
(30,15,0),
(32,16,15),
(34,17,2),
(36,18,16),
(38,19,0),
(40,20,3),
(42,21,18),
(44,22,4),
(46,23,7),
(48,24,4),
(50,25,2),
(52,26,8),
(54,27,1),
(56,28,12),
(58,29,2),
(60,30,16),
(62,31,17),
(64,32,0),
(66,33,17),
(68,34,14),
(70,35,18),
(72,36,8),
(74,37,1),
(76,38,9),
(78,39,10),
(80,40,4),
(82,41,16),
(84,42,7),
(86,43,18),
(88,44,0),
(90,45,17),
(92,46,17),
(94,47,1),
(96,48,19),
(98,49,8),
(100,50,17),
(102,51,8),
(104,52,2),
(106,53,15),
(108,54,7),
(110,55,18),
(112,56,9)
